n time_ms last_val
10 1.473536 -1.570972
11 0.763808 9.799153
12 0.835584 0.346466
13 0.650336 2.965774
14 0.829312 2.174832
15 0.843776 4.892064
16 0.979904 1.841057
17 0.778240 6.054916
18 0.933888 3.989392
19 1.385248 1.682547
20 1.674240 1.610490
21 4.008160 10.214134
22 7.851008 5.434562
23 14.171168 2.922401
24 23.275423 -3.466966
25 53.923840 -3.352853
26 82.484451 15.746727
27 117.965790 5.373302
28 206.174088 7.834343
29 480.291840 -6.913301
