i time_ms first_val last_val
10 31.018976 1.137826 -2.126018
11 4.794208 -1.462728 -0.022372
12 0.534592 8.541023 -0.346689
13 2.875392 -0.472121 -0.760535
14 0.615424 0.841918 -5.475016
15 4.752096 -1.312445 5.440474
16 0.544160 7.112265 -1.630415
17 0.903904 -2.574374 -2.082706
18 1.808256 -0.979585 0.848495
19 2.324384 -2.971968 -3.113166
20 2.509984 6.641370 -4.339838
21 0.632160 0.113748 0.799084
22 0.498912 1.526838 -0.525108
23 1.101568 -2.365785 1.070949
24 1.404992 -0.210871 -1.864244
25 4.491040 1.881858 4.133574
26 6.596544 -3.668179 1.948701
27 7.188512 -0.736716 -5.968472
28 33.899521 -0.207171 6.691959
29 62.144798 4.463102 3.600160
