t time_ms first_val last_val
1 54.3815 -1000 1000
2 33.319 -1000 1000
3 25.4707 -1000 1000
4 24.5713 -1000 1000
5 24.7142 -1000 1000
6 21.4879 -1000 1000
7 18.9713 -1000 1000
8 19.7255 -1000 1000
9 17.877 -1000 1000
10 17.4221 -1000 1000
11 15.5268 -1000 1000
12 16.5319 -1000 1000
13 15.2706 -1000 1000
14 21.1568 -1000 1000
15 17.967 -1000 1000
16 20.0044 -1000 1000
17 22.1837 -1000 1000
18 23.2558 -1000 1000
19 20.5441 -1000 1000
20 23.3374 -1000 1000
